夜市名稱,調味名稱,攤商名稱,品牌,來源(產地)
饒河街觀光夜市,沙拉油,甜心脆皮雞蛋糕,美食家食材通路股份有限公司,台南市安平區永華路二段373號
饒河街觀光夜市,糖,鄉淳布丁豆花,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,糖,QQ涼圓,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,糖,QQ涼圓,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,七味唐辛,幸花明太子起司烤餅,新北市明志路三段145號34弄2樓,幸花明太子起司烤餅(總店)
饒河街觀光夜市,海苔,幸花明太子起司烤餅,幸花明太子起司烤餅(總店),新北市明志路三段145號34弄2樓
饒河街觀光夜市,蒜味粉,幸花明太子起司烤餅,幸花明太子起司烤餅(總店),新北市明志路三段145號34弄2樓
饒河街觀光夜市,沙拉油,有夠讚特大雞排,美食家食材通路股份有限公司,台南市安平區永華路二段373號
饒河街觀光夜市,胡椒鹽,有夠讚特大雞排,老公仔標(統隆企業有限公司),台北市北投區立德路121巷18號
饒河街觀光夜市,辣椒粉,有夠讚特大雞排,統隆企業有限公司,台北市北投區立德路121巷18號
饒河街觀光夜市,沙拉油,爆醬菇寶寶,美食家食材通路股份有限公司,台南市安平區永華路二段373號
饒河街觀光夜市,胡椒粉,爆醬菇寶寶,小磨坊國際貿易股份有限公司 ,台中市西屯區工業區一路70號7樓之1
饒河街觀光夜市,香油,福德魯味,日發麻油行,新北市三重區仁昌街94號
饒河街觀光夜市,糖,福德魯味,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,醬油,福德魯味,味全食品工業股份有限公司,台北市中山區松江路125號
饒河街觀光夜市,糖,杏花村,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,胡椒粉,難忘蟹肉,老公仔標(統隆企業有限公司),台北市北投區立德路121巷18號
饒河街觀光夜市,辣椒粉,難忘蟹肉,老公仔標(統隆企業有限公司),台北市北投區立德路121巷18號
饒河街觀光夜市,胡椒粉,難忘蟹肉,老公仔標(統隆企業有限公司),台北市北投區立德路121巷18號
饒河街觀光夜市,辣椒粉,難忘蟹肉,老公仔標(統隆企業有限公司),台北市北投區立德路121巷18號
饒河街觀光夜市,冰糖,大阿姨涼拌手撕雞,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,香油,大阿姨涼拌手撕雞,辰邦股份有限公司,新北市新莊區化成路403巷47號
饒河街觀光夜市,醬油,大阿姨涼拌手撕雞,萬家香醬園股份有限公司,台北市中山區德惠街9號5樓之6
饒河街觀光夜市,沙拉油,QQ王子地瓜球,美食家(大統益股份有限公司),台南市官田區二鎮里工業西路32號
饒河街觀光夜市,醬油,大嘴巴空心鳳爪,金蘭食品股份有限公司,桃園市大溪區介壽路236號
饒河街觀光夜市,胡椒粉,永哥爆漿好吃雞腿捲,小磨坊國際貿易股份有限公司,台中市西屯工業區一路70號7樓之1
饒河街觀光夜市,醬油,越南美食,金蘭食品股份有限公司,桃園市大溪區介壽路236號
饒河街觀光夜市,醬油,金珍珠糯玉米,金蘭食品股份有限公司,桃園市大溪區介壽路236號
饒河街觀光夜市,沙拉油,蔙萵蔥餅,福壽實業股份有限公司,台中市沙鹿區沙田路45號
饒河街觀光夜市,香油,蔙萵蔥餅,福壽實業股份有限公司,台中市沙鹿區沙田路45號
饒河街觀光夜市,糖,蔙萵蔥餅,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,鹽,蔙萵蔥餅,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號
饒河街觀光夜市,七味唐辛,幸花明太子起司烤餅,幸花明太子起司烤餅(總店),新北市明志路三段145號34弄2樓
饒河街觀光夜市,海苔,幸花明太子起司烤餅,幸花明太子起司烤餅(總店),新北市明志路三段145號34弄2樓
饒河街觀光夜市,蒜味粉,幸花明太子起司烤餅,幸花明太子起司烤餅(總店),新北市明志路三段145號34弄2樓
饒河街觀光夜市,香油,雙保明小籠湯包,一滴香(辰邦股份有限公司),新北市新莊區化成路403巷47號
饒河街觀光夜市,糖,雙保明小籠湯包,台灣糖業股份有限公司,台南市仁德區田厝里文華路二段326號
饒河街觀光夜市,鹽,雙保明小籠湯包,台鹽實業股份有限公司,台南市南區健康路一段297號
饒河街觀光夜市,耐炸油,口袋吐司,美食家食材通路股份有限公司,台南市安平區永華路二段373號
饒河街觀光夜市,醬油,鮮烤魷魚,萬家香醬園股份有限公司,台北市中山區德惠街9號5樓之6
饒河街觀光夜市,糖,大腸包小腸,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,醬油,大腸包小腸,萬家香醬園股份有限公司,台北市中山區德惠街9號5樓之6
饒河街觀光夜市,台糖,純天然愛玉仙草,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,香油,大嘴巴空心鳳爪,福壽實業股份有限公司,台中市沙鹿區沙田路45號
饒河街觀光夜市,醬油,大嘴巴空心鳳爪,金蘭食品股份有限公司,桃園市大溪區介壽路236號
饒河街觀光夜市,甘草粉,呂小姐不一樣的情人果,勝元堂中藥,台北市大同區民生西路330號1樓
饒河街觀光夜市,梅粉,呂小姐不一樣的情人果,勝元堂中藥,台北市大同區民生西路330號1樓
饒河街觀光夜市,糖,呂小姐不一樣的情人果,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,煉乳,爸拿那法式薄餅,盛發興食品股份有限公司,雲林縣斗六市斗六工業區民享街1號
饒河街觀光夜市,梅粉,芭樂嫂,林桔園蜜餞行,彰化縣員林市員水路二段390號
饒河街觀光夜市,奶油,小熊燒,小熊與樹糕點屋,台中市西屯區大安街31號
饒河街觀光夜市,巧克力,小熊燒,小熊與樹糕點屋,台中市西屯區大安街31號
饒河街觀光夜市,沙拉油,三明治,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,糖,三明治,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,蠔油,北大洋深海大魷魚 烤魷魚,萬家香醬園股份有限公司,台北市中山區德惠街9號5樓之6
饒河街觀光夜市,沙拉油,芋包芋,泰山企業股份有限公司,彰化縣田中鎮興工路6號
饒河街觀光夜市,胡椒粉,邱記10元碳烤,邱記企業社,新北市泰山區台麗街57號
饒河街觀光夜市,辣椒粉,邱記10元碳烤,邱記企業社,新北市泰山區台麗街57號
饒河街觀光夜市,沙茶醬,北港麻辣臭豆腐,牛頭牌(好帝一食品有限公司),台南市新市區大營里豐榮160號
饒河街觀光夜市,豆瓣醬,北港麻辣臭豆腐,哈哈醬園股份有限公司,高雄市岡山區仁壽南路110號
饒河街觀光夜市,豬油,北港麻辣臭豆腐,南松山市場,台北市松山區塔悠路40號
饒河街觀光夜市,糖,變態雞翅,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,醬油,變態雞翅,萬家香醬園股份有限公司,台北市中山區德惠街9號5樓之6
饒河街觀光夜市,玫瑰鹽,頂級澳洲岩烤和牛,濟生股份有限公司,台北市大同區安西街116號
饒河街觀光夜市,黑胡椒粒,頂級澳洲岩烤和牛,濟生股份有限公司,台北市大同區安西街116號
饒河街觀光夜市,辣椒粉,頂級澳洲岩烤和牛,濟生股份有限公司,台北市大同區安西街116號
饒河街觀光夜市,胡椒粉,爆漿雞腿捲,飛馬牌(濟生股份有限公司),台北市大同區安西街116號
饒河街觀光夜市,黑糖,養生現壓甘蔗汁,南松山市場,台北市松山區塔悠路40號
饒河街觀光夜市,薑母,養生現壓甘蔗汁,南松山市場,台北市松山區塔悠路40號
饒河街觀光夜市,胡椒鹽,不一樣碳烤杏鮑菇,小磨坊國際貿易股份有限公司,台中市西屯區工業區一路70號7樓之1
饒河街觀光夜市,檸檬,不一樣碳烤杏鮑菇,小磨坊國際貿易股份有限公司,台中市西屯區工業區一路70號7樓之1
饒河街觀光夜市,醬油,不一樣碳烤杏鮑菇,金蘭食品股份有限公司,桃園市大溪區介壽路236號
饒河街觀光夜市,七味唐辛子,乙町翁日式岩燒,小磨坊國際貿易股份有限公司,台中市西屯區工業區一路70號7樓之1
饒河街觀光夜市,玫瑰鹽,乙町翁日式岩燒,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號
饒河街觀光夜市,芥末粉,乙町翁日式岩燒,小磨坊國際貿易股份有限公司,台中市西屯區工業區一路70號7樓之1
饒河街觀光夜市,糖,是茶非茶,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,糖,港仔找茶,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,胡椒鹽,不一樣碳烤杏鮑菇,小磨坊國際貿易股份有限公司,台中市西屯區工業區一路70號7樓之1
饒河街觀光夜市,檸檬,不一樣碳烤杏鮑菇,小磨坊國際貿易股份有限公司,台中市西屯區工業區一路70號7樓之1
饒河街觀光夜市,醬油,不一樣碳烤杏鮑菇,金蘭食品股份有限公司,桃園市大溪區介壽路236號
饒河街觀光夜市,醬油膏,串燒臭豆腐,新亞醬園,新北市蘆洲區長安街285巷18號1樓
饒河街觀光夜市,沙拉醬,裕子燒,瑞西莎拉醬(維味香食品工廠),台南市六甲區龜港里142號
饒河街觀光夜市,鹽,極品鹽水雞,台鹽實業股份有限公司 ,台南市南區健康路1段297號
饒河街觀光夜市,糖,難忘米粉湯,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,糖,糖戀愛,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,香油,紅燒牛肉麵,辰邦股份有限公司,新北市新莊區化成路403巷47號
饒河街觀光夜市,醬油,紅燒牛肉麵,味王股份有限公司,台北市中山區中山北路二段79號6樓
饒河街觀光夜市,鹽,紅燒牛肉麵,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號
臨江街觀光夜市,沙拉油,阿爸ㄟ蒜香雞,美食家食材通路股份有限公司,台南市安平區永華路二段373號
臨江街觀光夜市,調味粉,阿爸ㄟ蒜香雞,丹騰美食,新北市中和區廣福路56巷2弄5號
臨江街觀光夜市,味精,關東甜不辣,味全食品工業股份有限公司,台北市中山區松江路125號
臨江街觀光夜市,糖,關東甜不辣,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
臨江街觀光夜市,醬油,關東甜不辣,金蘭食品股份有限公司,桃園市大溪區介壽路236號
臨江街觀光夜市,鹽,關東甜不辣,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號
臨江街觀光夜市,海苔,冠魚蛋小屋,冠魚蛋小屋(總店),臺北市士林區大南路(士林廟口前)
臨江街觀光夜市,調味粉,冠魚蛋小屋,冠魚蛋小屋(總店),臺北市士林區大南路(士林廟口前)
臨江街觀光夜市,檸檬,冠魚蛋小屋,冠魚蛋小屋(總店),臺北市士林區大南路(士林廟口前)
臨江街觀光夜市,糖,臨江紅豆餅,新亞醬園,新北市蘆洲區長安街285巷18號1樓
臨江街觀光夜市,沙拉油,雞婆脆皮雞排,美食家食材通路股份有限公司,台南市安平區永華路二段373號
臨江街觀光夜市,調味粉,雞婆脆皮雞排,通隆商行,台北市大安區通化街39巷49弄1號
臨江街觀光夜市,地瓜粉,吳記排骨酥,中曼貿易股份有限公司,台北市大安區信義路四段296號12樓之3
臨江街觀光夜市,耐炸油,吳記排骨酥,美食家食材通路股份有限公司,台南市安平區永華路二段373號
臨江街觀光夜市,胡椒鹽,吳記排骨酥,通隆商行,台北市大安區通化街39巷49弄1號
臨江街觀光夜市,辣椒粉,吳記排骨酥,濟生股份有限公司,台北市大同區安西街116號
臨江街觀光夜市,檸檬汁,正宗泰式涼拌木瓜,第一果菜批發市場,台北市萬華區萬大路533號
臨江街觀光夜市,香油,禎記滷味,辰邦股份有限公司,新北市新莊區化成路403巷47號
臨江街觀光夜市,糖,禎記滷味,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
臨江街觀光夜市,醬油,禎記滷味,金蘭食品股份有限公司,桃園市大溪區介壽路236號
臨江街觀光夜市,冰糖,青草茶苦茶,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
臨江街觀光夜市,太白粉,蚵仔煎,易順興雜糧行,台北市信義區基隆路一段360號
臨江街觀光夜市,地瓜粉,蚵仔煎,易順興雜糧行,台北市信義區基隆路一段360號
臨江街觀光夜市,糖,蚵仔煎,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
臨江街觀光夜市,沙拉油,魷魚船,丹騰美食,新北市中和區廣福路56巷2弄5號
臨江街觀光夜市,調味粉,魷魚船,丹騰美食,新北市中和區廣福路56巷2弄5號
臨江街觀光夜市,香油,麻油雞,辰邦股份有限公司,新北市新莊區化成路403巷47號
臨江街觀光夜市,醬油,麻油雞,金蘭食品股份有限公司,桃園市大溪區介壽路236號
臨江街觀光夜市,鹽,麻油雞,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號
臨江街觀光夜市,耐炸油,金酥臭豆腐,美食家食材通路股份有限公司,台南市安平區永華路二段373號
臨江街觀光夜市,醬油,金酥臭豆腐,永芳醬園股份有限公司,新北市永和區仁愛路141巷52號
臨江街觀光夜市,沙拉油,難忘胡椒蝦,美食家食材通路股份有限公司,台南市安平區永華路二段373號
臨江街觀光夜市,胡椒鹽,難忘胡椒蝦,易順興雜糧行,台北市信義區基隆路一段360號
臨江街觀光夜市,醬油,難忘胡椒蝦,金蘭食品股份有限公司,桃園市大溪區介壽路236號
臨江街觀光夜市,沙拉油,林記小辣椒魷魚羹,美食家食材通路股份有限公司,台南市安平區永華路二段373號
臨江街觀光夜市,味精,林記小辣椒魷魚羹,味全食品工業股份有限公司,台北市中山區松江路125號
臨江街觀光夜市,糖,林記小辣椒魷魚羹,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
臨江街觀光夜市,醬油,林記小辣椒魷魚羹,金蘭食品股份有限公司,桃園市大溪區介壽路236號
臨江街觀光夜市,鹽,林記小辣椒魷魚羹,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號
臨江街觀光夜市,沙拉油,鳳梨蝦球,美食家食材通路股份有限公司,台南市安平區永華路二段373號
臨江街觀光夜市,沙拉油,漢記地瓜球,美食家食材通路股份有限公司,台南市安平區永華路二段373號
臨江街觀光夜市,調味粉,漢記地瓜球,易順興雜糧行,台北市信義區基隆路一段360號
臨江街觀光夜市,糖,漢記地瓜球,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
臨江街觀光夜市,醬油,純手工一口吃煎餃,新亞醬園,新北市蘆洲區長安街285巷18號1樓
臨江街觀光夜市,麻辣油,麻辣魚蛋,蛋蛋達人麻辣魚蛋,新北市板橋區南雅東路(南雅夜市內)
臨江街觀光夜市,鹽,麻辣魚蛋,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號
臨江街觀光夜市,糖,QQ涼圓,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
臨江街觀光夜市,沙拉油,盈家鹽酥菇,美食家食材通路股份有限公司,台南市安平區永華路二段373號
臨江街觀光夜市,胡椒鹽,盈家鹽酥菇,竹森堂中藥店,新北市永和區永和路二段249號
臨江街觀光夜市,糖,曾阿婆豬血糕,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
臨江街觀光夜市,醬油,曾阿婆豬血糕,味王股份有限公司,台北市中山區中山北路二段79號6樓
臨江街觀光夜市,沙拉油,鳳記轟炸雞無骨鹽酥雞,美食家食材通路股份有限公司,台南市安平區永華路二段373號
臨江街觀光夜市,鹽,澎湖花生台南菱角,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號
臨江街觀光夜市,沙拉油,海炸王,美食家食材通路股份有限公司,台南市安平區永華路二段373號
臨江街觀光夜市,糖,海炸王,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
臨江街觀光夜市,鹽,海炸王,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號
臨江街觀光夜市,醬油,碳烤玉米,金蘭食品股份有限公司,桃園市大溪區介壽路236號
臨江街觀光夜市,魚露,慈記涼拌木瓜,洋民有限公司,桃園市蘆竹區長安路2段116號
臨江街觀光夜市,糖,慈記涼拌木瓜,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
臨江街觀光夜市,味精,鍾通化魷魚羹,味王股份有限公司,台北市中山區中山北路二段79號6樓
臨江街觀光夜市,糖,鍾通化魷魚羹,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
臨江街觀光夜市,醬油,鍾通化魷魚羹,福壽實業股份有限公司,台中市沙鹿區沙田路45號
臨江街觀光夜市,鹽,鍾通化魷魚羹,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號
臨江街觀光夜市,沙拉油,寶素齋,美食家食材通路股份有限公司,台南市安平區永華路二段373號
臨江街觀光夜市,香油,寶素齋,小磨坊國際貿易股份有限公司,台中市西屯區工業區一路70號7樓之1
臨江街觀光夜市,糖,寶素齋,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
臨江街觀光夜市,醬油,寶素齋,新亞醬園,新北市蘆洲區長安街285巷18號1樓
臨江街觀光夜市,鹽,寶素齋,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號
臨江街觀光夜市,沙拉油,蔡蚵嗲,美食家食材通路股份有限公司,台南市安平區永華路二段373號
臨江街觀光夜市,香油,蔡蚵嗲,小磨坊國際貿易股份有限公司,台中市西屯區工業區一路70號7樓之1
臨江街觀光夜市,糖,蔡蚵嗲,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
臨江街觀光夜市,醬油,蔡蚵嗲,金蘭食品股份有限公司,桃園市大溪區介壽路236號
臨江街觀光夜市,鹽,蔡蚵嗲,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號
臨江街觀光夜市,醬油,碳烤串燒,金蘭食品股份有限公司,桃園市大溪區介壽路236號
臨江街觀光夜市,鹽,碳烤串燒,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號
臨江街觀光夜市,甜辣醬,芝麻園,三豐食品工廠,新北市新莊區化成路100號
臨江街觀光夜市,辣椒粉,芝麻園,環球食品商行,嘉義縣民雄鄉興中村義橋1號之4
臨江街觀光夜市,醬油,芝麻園,雙美人牌,台北市大同區環河北路一段331號
臨江街觀光夜市,沙拉油,上海生煎包鍋貼,泰山企業股份有限公司,彰化縣田中鎮興工路6號
臨江街觀光夜市,鹽,上海生煎包鍋貼,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號
臨江街觀光夜市,胡椒粉,起司輪馬鈴薯,小磨坊國際貿易股份有限公司,台中市西屯區工業區一路70號7樓之1
臨江街觀光夜市,鹽,起司輪馬鈴薯,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號
臨江街觀光夜市,沙拉油,咖哩王子,泰山企業股份有限公司,彰化縣田中鎮興工路6號
臨江街觀光夜市,糖,咖哩王子,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
臨江街觀光夜市,醬油,咖哩王子,統萬股份有限公司,台南市東區中華東路二段193號18樓之12
臨江街觀光夜市,鹽,咖哩王子,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號
臨江街觀光夜市,糖,九龍茶鋪,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
臨江街觀光夜市,格登炸雞,格登炸雞,美食家食材通路股份有限公司,台南市安平區永華路二段373號
臨江街觀光夜市,胡椒,牛咩咩可麗餅,宏元食品行,台北市信義區松隆路50號一樓
臨江街觀光夜市,煉乳,印度拉茶,盛發興食品股份有限公司 ,雲林縣斗六市斗六工業區民享街1號
臨江街觀光夜市,沙拉油,阿芳潤餅捲,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
臨江街觀光夜市,芥末粉,阿芳潤餅捲,易順興雜糧行,台北市信義區基隆路一段360號
臨江街觀光夜市,辣椒醬,阿芳潤餅捲,易順興雜糧行,台北市信義區基隆路一段360號
